# x_m,y_m
-0.982543,-2.154675
-0.606787,-1.228011
-0.230919,-0.301391
0.145060,0.625185
0.521147,1.551719
0.897343,2.478209
1.273676,3.404642
1.650114,4.331033
2.026657,5.257383
2.403302,6.183692
2.780048,7.109962
3.156918,8.036178
3.533886,8.962356
3.910952,9.888495
4.288114,10.814596
4.665371,11.740659
5.042736,12.666675
5.420194,13.592654
5.797743,14.518598
6.175382,15.444506
6.553109,16.370379
6.930930,17.296210
7.308838,18.222006
7.686829,19.147770
8.064904,20.073500
8.443061,20.999199
8.821297,21.924860
9.199613,22.850490
9.578007,23.776089
9.956477,24.701658
10.335023,25.627197
10.713635,26.552704
11.092319,27.478182
11.471075,28.403632
11.849901,29.329055
12.228796,30.254450
12.607742,31.179819
12.986754,32.105161
13.365832,33.030478
13.744973,33.955770
14.124177,34.881037
14.503417,35.806283
14.882716,36.731505
15.262075,37.656704
15.641490,38.581881
16.020962,39.507035
16.400456,40.432173
16.780003,41.357291
17.159602,42.282388
17.539252,43.207465
17.918952,44.132523
18.298659,45.057569
18.678413,45.982597
19.058213,46.907607
19.438057,47.832601
19.817944,48.757577
20.197824,49.682547
20.577745,50.607502
20.957705,51.532441
21.337702,52.457366
21.717737,53.382277
22.097749,54.307186
22.477796,55.232083
22.857876,56.156967
23.237987,57.081839
23.618128,58.006700
23.998233,58.931565
24.378365,59.856419
24.758524,60.781264
25.138708,61.706099
25.518915,62.630925
25.899072,63.555759
26.279250,64.480586
26.659448,65.405406
27.039664,66.330219
27.419898,67.255025
27.800067,68.179842
28.180250,69.104654
28.560447,70.029461
28.940656,70.954264
29.320876,71.879064
29.701027,72.803875
30.081185,73.728684
30.461351,74.653491
30.841522,75.578296
31.221698,76.503100
31.601802,77.427918
31.981908,78.352736
32.362015,79.277555
32.742120,80.202374
33.122223,81.127195
33.502252,82.052032
33.882277,82.976871
34.262295,83.901714
34.642306,84.826559
35.022308,85.751409
35.402234,86.676277
35.782149,87.601150
36.162051,88.526028
36.541939,89.450912
36.921812,90.375803
37.301607,91.300715
37.681384,92.225633
38.061142,93.150560
38.440879,94.075495
38.820594,95.000439
39.200229,95.925406
39.579839,96.850383
39.959424,97.775370
40.338981,98.700368
40.718510,99.625378
41.097957,100.550412
41.477372,101.475458
41.856756,102.400517
42.236106,103.325590
42.615421,104.250677
42.994651,105.175791
43.373843,106.100920
43.752997,107.026064
44.132111,107.951224
44.511183,108.876401
44.890168,109.801607
45.269109,110.726830
45.648005,111.652071
46.026854,112.577331
46.405656,113.502610
46.784367,114.427919
47.163029,115.353248
47.541638,116.278598
47.920194,117.203969
48.298697,118.129362
48.677107,119.054787
49.055460,119.980235
49.433754,120.905706
49.811990,121.831201
50.190164,122.756720
50.568244,123.682274
50.946261,124.607852
51.324213,125.533457
51.702099,126.459087
52.079917,127.384744
52.457639,128.310438
52.835290,129.236160
53.212871,130.161910
53.590379,131.087688
53.967813,132.013496
54.345147,132.939342
54.722405,133.865219
55.099586,134.791126
55.476687,135.717064
55.853709,136.643034
56.230628,137.569045
56.607465,138.495089
56.984218,139.421166
57.360885,140.347276
57.737465,141.273421
58.113941,142.199609
58.490328,143.125833
58.866624,144.052091
59.242829,144.978387
59.618940,145.904719
59.994944,146.831095
60.370853,147.757510
60.746664,148.683962
61.122376,149.610454
61.497989,150.536985
61.873494,151.463563
62.248896,152.390181
62.624194,153.316841
62.999388,154.243541
63.374475,155.170284
63.749450,156.097075
64.124317,157.023909
64.499074,157.950786
64.873719,158.877707
65.248251,159.804673
65.622671,160.731690
65.996974,161.658752
66.371162,162.585860
66.745231,163.513015
67.119180,164.440216
67.493014,165.367470
67.866727,166.294773
68.240315,167.222123
68.613780,168.149523
68.987118,169.076972
69.360339,170.004477
69.733432,170.932032
70.106394,171.859639
70.479226,172.787296
70.851926,173.715006
71.224504,174.642773
71.596948,175.570592
71.969256,176.498465
72.341426,177.426392
72.713457,178.354374
73.085366,179.282416
73.457134,180.210513
73.828759,181.138666
74.200240,182.066876
74.571576,182.995143
74.942786,183.923470
75.313849,184.851856
75.684762,185.780301
76.055525,186.708805
76.426136,187.637368
76.796620,188.565995
77.166950,189.494683
77.537123,190.423432
77.907140,191.352243
78.276999,192.281115
78.646728,193.210054
79.016297,194.139056
79.385703,195.068122
79.754946,195.997252
80.124024,196.926446
80.492809,197.855772
80.861109,198.785288
81.228929,199.714993
81.596276,200.644884
81.963155,201.574960
82.329609,202.505219
82.695607,203.435659
83.061153,204.366276
83.426252,205.297069
83.790911,206.228035
84.155177,207.159173
84.519013,208.090481
84.882426,209.021956
85.245420,209.953595
85.608001,210.885398
85.970221,211.817361
86.332039,212.749483
86.693460,213.681761
87.054491,214.614193
87.415136,215.546777
87.775452,216.479511
88.135394,217.412392
88.494967,218.345419
88.854177,219.278589
89.213029,220.211900
89.571584,221.145351
89.929792,222.078938
90.287659,223.012659
90.645190,223.946513
91.002391,224.880497
91.359326,225.814609
91.715942,226.748847
92.072245,227.683209
92.428239,228.617692
92.783931,229.552295
93.139389,230.487015
93.494556,231.421849
93.849437,232.356797
94.204037,233.291855
94.558362,234.227022
94.912485,235.162295
95.266345,236.097672
95.619946,237.033151
95.973294,237.968730
96.326395,238.904407
96.679326,239.840178
97.032021,240.776043
97.384484,241.711999
97.736723,242.648045
98.088742,243.584177
98.440622,244.520393
98.792294,245.456692
99.143763,246.393071
99.495034,247.329528
99.846112,248.266062
100.197085,249.202667
100.547876,250.139345
100.898492,251.076093
101.248937,252.012908
101.599219,252.949788
101.949425,253.886730
102.299479,254.823733
102.649384,255.760794
102.999147,256.697913
103.348773,257.635086
103.698356,258.572309
104.047813,259.509582
104.397150,260.446904
104.746372,261.384271
105.095485,262.321682
105.444586,263.259132
105.793589,264.196621
106.142500,265.134147
106.491323,266.071709
106.840064,267.009304
107.188827,267.946926
107.537519,268.884577
107.886145,269.822254
108.234712,270.759956
108.583225,271.697679
108.931791,272.635419
109.280313,273.573177
109.628798,274.510951
109.977251,275.448738
110.325677,276.386536
110.674187,277.324339
111.022682,278.262149
111.371167,279.199964
111.719648,280.137782
112.068129,281.075600
112.416727,282.013412
112.765338,282.951220
113.113965,283.889022
113.462616,284.826816
113.811295,285.764599
114.160123,286.702365
114.508990,287.640117
114.857902,288.577851
115.206865,289.515567
115.555884,290.453261
115.905083,291.390926
116.254349,292.328566
116.603688,293.266178
116.953105,294.203760
117.302606,295.141310
117.652319,296.078819
118.002126,297.016293
118.352034,297.953727
118.702047,298.891121
119.052172,299.828472
119.402540,300.765772
119.753031,301.703024
120.103649,302.640227
120.454401,303.577378
120.805292,304.514475
121.156458,305.451509
121.507773,306.388485
121.859245,307.325400
122.210877,308.262253
122.562676,309.199041
122.914781,310.135755
123.267064,311.072400
123.619531,312.008973
123.972185,312.945473
124.325034,313.881897
124.677330,314.815991
125.029848,315.750054
125.382591,316.684085
125.735564,317.618078
126.088774,318.552031
126.444947,319.470744
126.801334,320.389683
127.157945,321.308840
127.514788,322.228207
127.871869,323.147778
128.265355,324.028351
128.658832,324.909500
129.052325,325.791230
129.445862,326.673544
129.839467,327.556442
130.310406,328.375282
130.780964,329.195104
131.251210,330.015955
131.721220,330.837875
132.191069,331.660895
132.782630,332.400510
133.373754,333.141267
133.964541,333.883228
134.555095,334.626444
135.145528,335.370951
135.870906,336.010547
136.596063,336.651131
137.321085,337.292739
138.046064,337.935397
138.771092,338.579118
139.597078,339.091180
140.422907,339.604187
141.248671,340.118165
142.074462,340.633131
142.900374,341.149088
143.793379,341.508915
144.686221,341.869812
145.579005,342.231811
146.471838,342.594932
147.364826,342.959185
148.304270,343.162613
149.243762,343.366643
150.183349,343.571281
151.123077,343.776532
152.062992,343.982395
153.037041,344.061290
154.011178,344.140383
154.985416,344.219676
155.959763,344.299173
156.934231,344.378874
157.929777,344.371190
158.925374,344.363499
159.921022,344.355804
160.916722,344.348111
161.912474,344.340422
162.907816,344.283073
163.903209,344.225770
164.898654,344.168517
165.894155,344.111318
166.889714,344.054176
167.863932,343.942184
168.838249,343.830523
169.812686,343.719194
170.787263,343.608195
171.762002,343.497525
172.700058,343.294119
173.638331,343.091474
174.576890,342.889579
175.515800,342.688414
176.455126,342.487954
177.348853,342.154906
178.242956,341.822747
179.137522,341.491448
180.032632,341.160970
180.928366,340.831267
181.772724,340.355535
182.617483,339.880411
183.462695,339.405867
184.308411,338.931872
185.154678,338.458391
185.940674,337.864568
186.727049,337.271149
187.513837,336.678113
188.301067,336.085435
189.088769,335.493092
189.806820,334.809477
190.525249,334.126157
191.244076,333.443113
191.963325,332.760324
192.683016,332.077770
193.320816,331.332905
193.959126,330.588357
194.597977,329.844093
195.237392,329.100083
195.877396,328.356290
196.416894,327.557904
196.957147,326.759871
197.498192,325.962135
198.040062,325.164633
198.582783,324.367305
199.004242,323.512627
199.426720,322.658253
199.850257,321.804092
200.274884,320.950048
200.700623,320.096023
200.986503,319.179065
201.273408,318.262190
201.561358,317.345307
201.850365,316.428324
202.140433,315.511148
202.287418,314.543911
202.435247,313.576540
202.583916,312.608967
202.733416,311.641125
202.883733,310.672948
202.899813,309.683148
202.916583,308.693074
202.934028,307.702674
202.952133,306.711896
202.970877,305.720694
202.864759,304.735724
202.759176,303.750394
202.654109,302.764664
202.549540,301.778500
202.445446,300.791867
202.229853,299.829241
202.014545,298.866297
201.799510,297.903019
201.584734,296.939395
201.370205,295.975409
201.075899,295.029694
200.781726,294.083785
200.487679,293.137679
200.193755,292.191373
199.899948,291.244863
199.563174,290.306218
199.226505,289.367504
198.889937,288.428721
198.553468,287.489868
198.217096,286.550946
197.872468,285.613055
197.527945,284.675134
197.183524,283.737182
196.839205,282.799200
196.494984,281.861189
196.152765,280.922534
195.810641,279.983850
195.468609,279.045139
195.126668,278.106401
194.784814,277.167637
194.444574,276.228343
194.104417,275.289023
193.764342,274.349678
193.424346,273.410309
193.084428,272.470915
192.745694,271.531114
192.407032,270.591288
192.068441,269.651440
191.729920,268.711569
191.391465,267.771677
191.053763,266.831498
190.716123,265.891297
190.378544,264.951075
190.041023,264.010832
189.703559,263.070570
189.366416,262.130142
189.029326,261.189693
188.692285,260.249226
188.355292,259.308740
188.018344,258.368236
187.681289,257.427686
187.344274,256.487118
187.007298,255.546533
186.670359,254.605931
186.333455,253.665314
185.996013,252.724770
185.658601,251.784210
185.321217,250.843635
184.983859,249.903045
184.646524,248.962440
184.308222,248.022029
183.969939,247.081604
183.631673,246.141165
183.293422,245.200713
182.955184,244.260248
182.615547,243.320097
182.275919,242.379933
181.936298,241.439757
181.596680,240.499570
181.257065,239.559372
180.915621,238.619608
180.574175,237.679833
180.232724,236.740048
179.891267,235.800253
179.549801,234.860449
179.206075,233.921199
178.862337,232.981940
178.518583,232.042673
178.174812,231.103398
177.831021,230.164116
177.484541,229.225509
177.138037,228.286894
176.791506,227.348273
176.444948,226.409647
176.098360,225.471015
175.748660,224.533190
175.398927,223.595363
175.049158,222.657536
174.699352,221.719708
174.349506,220.781881
173.996862,219.844828
173.644177,218.907785
173.291450,217.970754
172.938679,217.033736
172.585862,216.096730
172.232090,215.160008
171.878271,214.223309
171.524404,213.286635
171.170486,212.349986
170.816516,211.413364
170.463630,210.476468
170.110692,209.539610
169.757698,208.602789
169.404647,207.666006
169.051536,206.729261
168.701549,205.791688
168.351503,204.854163
168.001393,203.916688
167.651219,202.979262
167.300978,202.041887
166.955899,201.103126
166.610751,200.164425
166.265533,199.225785
165.920243,198.287205
165.574877,197.348686
165.236709,196.408224
164.898464,195.467831
164.560140,194.527509
164.221734,193.587258
163.883244,192.647078
163.553987,191.704393
163.224643,190.761788
162.895210,189.819263
162.565685,188.876817
162.236067,187.934450
161.917712,186.989017
161.599260,186.043671
161.280708,185.098413
160.962054,184.153241
160.643294,183.208155
160.337828,182.259439
160.032253,181.310816
159.726566,180.362286
159.420764,179.413848
159.114844,178.465502
158.824245,177.512958
158.533524,176.560511
158.242677,175.608161
157.951702,174.655907
157.660597,173.703749
157.386835,172.746819
157.112936,171.789990
156.838897,170.833260
156.564716,169.876627
156.290389,168.920091
156.035426,167.958207
155.780311,166.996423
155.525041,166.034737
155.269612,165.073147
155.014021,164.111653
154.779800,163.144172
154.545409,162.176788
154.310847,161.209497
154.076110,160.242299
153.841196,159.275190
153.628998,158.301632
153.416081,157.328271
153.202454,156.355094
152.988124,155.382090
152.773100,154.409246
152.580892,153.430716
152.388007,152.452323
152.194455,151.474055
152.000243,150.495900
151.805382,149.517847
151.633401,148.535139
151.460790,147.552513
151.287556,146.569956
151.113710,145.587460
150.939262,144.605012
150.787762,143.618947
150.635679,142.632912
150.483023,141.646898
150.329804,140.660895
150.176033,139.674894
150.045279,138.686317
149.913994,137.697724
149.782187,136.709108
149.649869,135.720460
149.517052,134.731772
149.407323,133.741553
149.297116,132.751278
149.186442,131.760941
149.075310,130.770533
148.963732,129.780047
148.875309,128.789002
148.786462,127.797869
148.697205,126.806642
148.607547,125.815315
148.517500,124.823881
148.449994,123.832300
148.382123,122.840613
148.313901,121.848816
148.245338,120.856905
148.176445,119.864874
148.128022,118.872186
148.079295,117.879387
148.030275,116.886470
147.980973,115.893435
147.931401,114.900276
147.900035,113.905847
147.868422,112.911306
147.836575,111.916651
147.804505,110.921879
147.772223,109.926989
147.755881,108.930226
147.739350,107.933359
147.722642,106.936385
147.705768,105.939305
147.688740,104.942116
147.685381,103.942463
147.681890,102.942719
147.678278,101.942883
147.674556,100.942954
147.670736,99.942931
147.678314,98.939859
147.685815,97.936713
147.693250,96.933494
147.700629,95.930202
147.707965,94.926836
147.724284,93.919925
147.740578,92.913003
147.756859,91.906069
147.773137,90.899125
147.789422,89.892169
147.807147,88.883013
147.824899,87.873960
147.842687,86.865009
147.860525,85.856161
147.878422,84.847415
147.883758,83.839805
147.889180,82.832413
147.894700,81.825237
147.900331,80.818275
147.906085,79.811525
147.884898,78.809375
147.863874,77.807549
147.843030,76.806041
147.822378,75.804847
147.801935,74.803963
147.740230,73.811131
147.678795,72.818712
147.617648,71.826694
147.556806,70.835068
147.496285,69.843822
147.380263,68.864029
147.264652,67.884704
147.149471,66.905829
147.034740,65.927385
146.920476,64.949351
146.736536,63.985950
146.553175,63.023018
146.370415,62.060525
146.188273,61.098441
146.006768,60.136734
145.741842,59.191833
145.477623,58.247298
145.214128,57.303089
144.951371,56.359168
144.689363,55.415495
144.340137,54.494686
143.991690,53.574081
143.644030,52.653639
143.297164,51.733319
142.951096,50.813075
142.521816,49.925390
142.093362,49.037737
141.665736,48.150072
141.238938,47.262349
140.812965,46.374522
140.307997,45.529030
139.803881,44.683384
139.300609,43.837537
138.798173,42.991440
138.296561,42.145045
137.720187,41.350730
137.144661,40.556060
136.569966,39.760983
135.996081,38.965450
135.422985,38.169409
134.779355,37.435140
134.136532,36.700295
133.494484,35.964824
132.853181,35.228673
132.212587,34.491793
131.505368,33.826048
130.798852,33.159507
130.092997,32.492118
129.387757,31.823831
128.683085,31.154600
127.914164,30.562571
127.145532,29.969928
126.377155,29.376657
125.608996,28.782748
124.841020,28.188188
124.016467,27.663726
123.192049,27.138732
122.367741,26.613203
121.543518,26.087136
120.719357,25.560529
119.849459,25.091256
118.979606,24.621546
118.109783,24.151399
117.239974,23.680818
116.370163,23.209805
115.465667,22.783322
114.561181,22.356489
113.656697,21.929309
112.752204,21.501787
111.847694,21.073926
110.919642,20.677721
109.991607,20.281240
109.063584,19.884489
108.135567,19.487470
107.207551,19.090191
106.267162,18.711612
105.326827,18.332820
104.386545,17.953819
103.446311,17.574615
102.506123,17.195213
101.565166,16.821660
100.624307,16.447940
99.683545,16.074060
98.742879,15.700027
97.802306,15.325844
96.871099,14.947993
95.939975,14.570002
95.008933,14.191877
94.077971,13.813624
93.147087,13.435248
92.224523,13.054541
91.302008,12.673712
90.379539,12.292767
89.457115,11.911712
88.534733,11.530551
87.616874,11.150988
86.699025,10.771318
85.781184,10.391548
84.863350,10.011684
83.945518,9.631730
83.028402,9.257293
82.111258,8.882766
81.194081,8.508154
80.276870,8.133461
79.359622,7.758694
78.439276,7.393363
77.518860,7.027956
76.598371,6.662480
75.677808,6.296939
74.757168,5.931340
73.829612,5.579096
72.901946,5.226793
71.974169,4.874439
71.046278,4.522038
70.118271,4.169598
69.179399,3.834360
68.240412,3.499096
67.301309,3.163814
66.362088,2.828519
65.422747,2.493218
64.471869,2.174112
63.520944,1.855038
62.569969,1.536000
61.618945,1.217004
60.667868,0.898055
59.711813,0.583801
58.755785,0.269632
57.799782,-0.044447
56.843802,-0.358430
55.887842,-0.672311
54.934374,-0.994382
53.981002,-1.316313
53.027721,-1.638097
52.074528,-1.959730
51.121420,-2.281204
50.178259,-2.623739
49.235250,-2.966071
48.292388,-3.308193
47.349665,-3.650100
46.407076,-3.991785
45.481868,-4.367373
44.556850,-4.742684
43.632013,-5.117713
42.707348,-5.492450
41.782844,-5.866891
40.883114,-6.288040
39.983588,-6.708826
39.084250,-7.129241
38.185086,-7.549279
37.286080,-7.968934
36.420006,-8.447861
35.554136,-8.926288
34.688446,-9.404210
33.822909,-9.881622
32.957501,-10.358520
32.145516,-10.909560
31.333681,-11.459863
30.521950,-12.009432
29.710273,-12.558271
28.898601,-13.106389
28.175095,-13.747159
27.451525,-14.386902
26.727807,-15.025644
26.003857,-15.663421
25.279593,-16.300278
24.677113,-17.050284
24.074220,-17.799186
23.470815,-18.547052
22.866804,-19.293956
22.262101,-20.039985
21.800805,-20.904845
21.339038,-21.768975
20.876750,-22.632432
20.413895,-23.495277
19.950433,-24.357576
19.630190,-25.303243
19.309438,-26.248410
18.988152,-27.193124
18.666305,-28.137437
18.343880,-29.081402
18.161302,-30.067404
17.978189,-31.053063
17.794524,-32.038422
17.610295,-33.023529
17.425494,-34.008431
17.376696,-34.999023
17.327332,-35.989396
17.277394,-36.979595
17.226877,-37.969666
17.175781,-38.959653
17.256138,-39.937918
17.335917,-40.916083
17.415117,-41.894192
17.493742,-42.872290
17.571798,-43.850421
17.776613,-44.803823
17.980856,-45.757238
18.184533,-46.710711
18.387656,-47.664283
18.590238,-48.617996
18.914863,-49.533946
19.238936,-50.450018
19.562472,-51.366253
19.885487,-52.282692
20.208003,-53.199372
20.647828,-54.065259
21.087135,-54.931371
21.525946,-55.797747
21.964284,-56.664423
22.402175,-57.531435
22.952644,-58.334660
23.502642,-59.138205
24.052199,-59.942107
24.601344,-60.746401
25.150109,-61.551117
25.807125,-62.279537
26.463758,-63.008345
27.120039,-63.737570
27.776004,-64.467240
28.431685,-65.197378
29.186776,-65.840997
29.941609,-66.485010
30.696213,-67.129437
31.450619,-67.774295
32.204857,-68.419596
33.038154,-68.971695
33.871293,-69.524182
34.704301,-70.077068
35.537203,-70.630362
36.370027,-71.184074
37.259635,-71.638285
38.149157,-72.092896
39.038619,-72.547915
39.928048,-73.003346
40.817472,-73.459194
41.737460,-73.804733
42.657354,-74.150980
43.577223,-74.497949
44.497134,-74.845647
45.417156,-75.194074
46.356833,-75.381355
47.296501,-75.569759
48.236306,-75.759294
49.176392,-75.949953
50.116898,-76.141707
51.084808,-76.124544
52.052968,-76.108387
53.021459,-76.093217
53.990359,-76.079007
54.959744,-76.065727
55.935169,-75.920097
56.910906,-75.775116
57.886981,-75.630766
58.863420,-75.487031
59.840246,-75.343892
60.806246,-75.134308
61.772601,-74.925269
62.739328,-74.716760
63.706444,-74.508764
64.673963,-74.301265
65.631709,-74.041743
66.589817,-73.782688
67.548299,-73.524085
68.507163,-73.265922
69.466419,-73.008185
70.417923,-72.709811
71.369761,-72.411847
72.321939,-72.114284
73.274462,-71.817110
74.227335,-71.520312
75.174425,-71.194319
76.121792,-70.868704
77.069440,-70.543458
78.017370,-70.218571
78.965583,-69.894035
79.909947,-69.551788
80.854509,-69.209904
81.799270,-68.868376
82.744227,-68.527197
83.689380,-68.186359
84.632578,-67.839327
85.575880,-67.492657
86.519281,-67.146341
87.462778,-66.800372
88.406368,-66.454745
89.349870,-66.113902
90.293423,-65.773401
91.237021,-65.433234
92.180661,-65.093396
93.124338,-64.753880
94.068898,-64.422992
95.013497,-64.092409
95.958132,-63.762124
96.902797,-63.432132
97.847489,-63.102425
98.793191,-62.780164
99.738923,-62.458170
100.684683,-62.136438
101.630468,-61.814961
102.576274,-61.493731
103.523197,-61.178655
104.470147,-60.863809
105.417120,-60.549187
106.364113,-60.234781
107.311123,-59.920586
108.259363,-59.611250
109.207627,-59.302107
110.155912,-58.993148
111.104214,-58.684368
112.052532,-58.375759
113.002195,-58.070718
113.951881,-57.765829
114.901586,-57.461087
115.851309,-57.156484
116.801045,-56.852013
117.752213,-56.549828
118.703401,-56.247756
119.654606,-55.945793
120.605827,-55.643931
121.557060,-55.342163
122.509574,-55.041686
123.462091,-54.741291
124.414609,-54.440970
125.367125,-54.140717
126.319637,-53.840525
127.273381,-53.542007
128.227104,-53.243538
129.180804,-52.945114
130.134479,-52.646725
131.088126,-52.348366
132.043064,-52.052611
132.997959,-51.756875
133.952806,-51.461150
134.907605,-51.165431
135.862353,-50.869709
136.818452,-50.577522
137.774484,-50.285322
138.730447,-49.993103
139.686338,-49.700855
140.642155,-49.408573
141.599383,-49.120758
142.556522,-48.832896
143.513568,-48.544982
144.470521,-48.257007
145.427378,-47.968965
146.385707,-47.686318
147.343925,-47.403592
148.302029,-47.120780
149.260019,-46.837874
150.217892,-46.554866
151.177298,-46.278182
152.136573,-46.001384
153.095715,-45.724465
154.054722,-45.447418
155.013593,-45.170236
155.974060,-44.900302
156.934376,-44.630219
157.894541,-44.359981
158.854553,-44.089578
159.814410,-43.819004
160.775930,-43.556603
161.737282,-43.294016
162.698466,-43.031237
163.659480,-42.768257
164.620325,-42.505069
165.582898,-42.250975
166.545290,-41.996658
167.507499,-41.742110
168.469525,-41.487324
169.431367,-41.232291
170.395009,-40.987271
171.358456,-40.741990
172.321709,-40.496439
173.284767,-40.250610
174.247630,-40.004495
175.212369,-39.769309
176.176903,-39.533821
177.141234,-39.298023
178.105362,-39.061907
179.069288,-38.825463
180.035169,-38.600862
181.000839,-38.375917
181.966301,-38.150620
182.931554,-37.924963
183.896600,-37.698937
184.863905,-37.485608
185.831001,-37.271894
186.797889,-37.057785
187.764570,-36.843273
188.731048,-36.628349
189.700313,-36.426535
190.669379,-36.224294
191.638248,-36.021616
192.606922,-35.818493
193.575403,-35.614917
194.546721,-35.424153
195.517852,-35.232919
196.488799,-35.041207
197.459565,-34.849010
198.430151,-34.656317
199.403552,-34.476051
200.376780,-34.295274
201.349839,-34.113979
202.322730,-33.932157
203.295457,-33.749799
204.270977,-33.579482
205.246339,-33.408614
206.221547,-33.237187
207.196603,-33.065193
208.171511,-32.892623
209.149135,-32.731392
210.126516,-32.568950
211.103663,-32.405307
212.080588,-32.240475
213.057302,-32.074467
214.036676,-31.919192
215.015860,-31.762765
215.994864,-31.605198
216.973699,-31.446502
217.952374,-31.286690
218.933232,-31.137423
219.913949,-30.987062
220.894536,-30.835620
221.875004,-30.683109
